geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
109380,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,,,Asia/Riyadh,0
109435,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,,,Asia/Riyadh,0
109470,zh-CN,AS,亚洲,SA,沙特阿拉伯,12,,,,,,Asia/Riyadh,0
109571,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,,,Asia/Riyadh,0
109953,zh-CN,AS,亚洲,SA,沙特阿拉伯,11,,,,巴哈,,Asia/Riyadh,0
109954,zh-CN,AS,亚洲,SA,沙特阿拉伯,11,,,,,,Asia/Riyadh,0
110336,zh-CN,AS,亚洲,SA,沙特阿拉伯,04,东部省,,,达曼,,Asia/Riyadh,0
110690,zh-CN,AS,亚洲,SA,沙特阿拉伯,14,阿西尔省,,,艾卜哈,,Asia/Riyadh,0
110737,zh-CN,AS,亚洲,SA,沙特阿拉伯,10,奈季兰省,,,,,Asia/Riyadh,0
110791,zh-CN,AS,亚洲,IR,伊朗,23,,,,,,Asia/Tehran,0
111453,zh-CN,AS,亚洲,IR,伊朗,19,,,,,,Asia/Tehran,0
111822,zh-CN,AS,亚洲,IR,伊朗,21,,,,亚兹德,,Asia/Tehran,0
112931,zh-CN,AS,亚洲,IR,伊朗,23,,,,德黑兰,,Asia/Tehran,0
113646,zh-CN,AS,亚洲,IR,伊朗,03,,,,大不里士,,Asia/Tehran,0
115019,zh-CN,AS,亚洲,IR,伊朗,07,,,,,,Asia/Tehran,0
116996,zh-CN,AS,亚洲,IR,伊朗,02,,,,薩里市,,Asia/Tehran,0
117574,zh-CN,AS,亚洲,IR,伊朗,12,,,,萨南达季,,Asia/Tehran,0
117656,zh-CN,AS,亚洲,IR,伊朗,04,,,,,,Asia/Tehran,0
118743,zh-CN,AS,亚洲,IR,伊朗,01,,,,拉什特,,Asia/Tehran,0
119208,zh-CN,AS,亚洲,IR,伊朗,25,,,,库姆,,Asia/Tehran,0
124665,zh-CN,AS,亚洲,IR,伊朗,09,礼萨呼罗珊省,,,,,Asia/Tehran,0
124778,zh-CN,AS,亚洲,IR,伊朗,12,,,,,,Asia/Tehran,0
125185,zh-CN,AS,亚洲,IR,伊朗,13,,,,,,Asia/Tehran,0
125605,zh-CN,AS,亚洲,IR,伊朗,15,洛雷斯坦省,,,,,Asia/Tehran,0
126914,zh-CN,AS,亚洲,IR,伊朗,22,,,,,,Asia/Tehran,0
126973,zh-CN,AS,亚洲,IR,伊朗,14,,,,,,Asia/Tehran,0
